company_id,issue,category
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJAJHLDNG,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BAJFINANCE,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BANKBARODA,Financial Sector,Bank ROCE Carve-Out
BHARTIARTL,ROE Difference,Formula Discrepancy
BHARTIARTL,ROE Difference,Formula Discrepancy
BHARTIARTL,ROE Difference,Formula Discrepancy
BHARTIARTL,ROE Difference,Formula Discrepancy
BHARTIARTL,ROE Difference,Formula Discrepancy
BHARTIARTL,ROE Difference,Formula Discrepancy
BHARTIARTL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BEL,ROE Difference,Formula Discrepancy
BHEL,ROE Difference,Formula Discrepancy
BHEL,ROE Difference,Formula Discrepancy
BHEL,ROE Difference,Formula Discrepancy
BHEL,ROE Difference,Formula Discrepancy
BOSCHLTD,ROE Difference,Formula Discrepancy
BOSCHLTD,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BPCL,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
BRITANNIA,ROE Difference,Formula Discrepancy
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CANBK,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
CHOLAFIN,Financial Sector,Bank ROCE Carve-Out
